"","Local Health Area","Year","Gender","<1","1-4","5-9","10-14","15-19","20-24","25-29","30-34","35-39","40-44","45-49","50-54","55-59","60-64","65-69","70-74","75-79","80-84","85-89","90+","Total"
"0","British Columbia","2006","T","41378","165729","222500","258494","282020","291548","274763","273522","305777","348255","349164","323132","290496","218117","170311","143332","120422","89697","50420","22614","4241691"
"0","British Columbia","2007","T","42391","167643","220246","256740","281321","293627","283960","275312","305900","339434","353498","330753","293460","235492","176952","144670","122106","90160","53423","23900","4290988"
"0","British Columbia","2008","T","44088","169960","219704","253709","280077","296918","295662","279629","306126","329951","359246","338466","298290","249876","185296","146776","123644","91082","55853","25059","4349412"
"0","British Columbia","2009","T","44555","173326","219282","250539","279218","301584","308122","286497","303273","323453","363493","343953","305090","261956","194902","150382","124301","92024","58378","26351","4410679"
"0","British Columbia","2010","T","44420","177191","219159","245894","280196","305025","317356","293355","299602","321357","360861","348509","311758","276114","202998","154632","125357","93893","59414","28833","4465924"
"0","British Columbia","2011","T","43635","179187","220278","240197","282958","302465","316706","299224","294395","322668","351958","353152","318925","286673","211600","160385","126783","96534","59969","31447","4499139"
"0","British Columbia","2012","T","43576","178974","222198","235017","284724","307364","314207","306082","294019","321863","343459","355833","327069","289154","228947","166747","128983","98986","61363","34013","4542578"
"0","British Columbia","2013","T","43989","177930","224521","231695","282423","311897","311277","312593","294248","318543","333276","358738","335176","293769","244092","175586","132112","101291","63202","36249","4582607"
"0","British Columbia","2014","T","43725","177879","227662","230278","280280","318980","312946","318878","298357","313408","327483","361132","341121","300813","256877","185321","136348","103014","65135","38778","4638415"
"0","British Columbia","2015","T","44276","177925","230298","229795","277531","322365","312563","322146","302944","308120","325078","358268","345748","308018","270487","193725","140853","104739","67393","40867","4683139"
"0","British Columbia","2016","T","45078","179631","232177","230502","263011","327416","318645","326799","311276","304459","328223","351646","351460","316413","281778","203001","146412","106733","70872","44592","4740124"
"0","British Columbia","2017","T","45808","181704","233014","233370","254265","326854","328558","330326","320991","305561","328688","344230","354895","324937","284570","220215","152401","108887","73801","48148","4801223"
"0","British Columbia","2018","T","46488","183688","233618","236747","248428","321392","338758","334256","331088","308057","327129","335826","359162","333463","288957","234538","160282","111510","76291","51644","4861322"
"0","British Columbia","2019","T","47189","186540","233666","240148","244665","312370","347793","340067","339618","313627","322625","331005","362097","339639","295874","246544","169060","114885","77976","55090","4920478"
"0","British Columbia","2020","T","47770","189376","234896","243082","243086","300121","355784","346816","346858","320451","319141","329914","360269","344986","303388","259691","176847","118640","79572","58601","4979289"
"0","British Columbia","2021","T","48289","192021","237201","244992","243921","286723","362718","353876","351987","328950","315591","332917","353683","350541","311450","270252","185206","123373","81189","62176","5037056"
"0","British Columbia","2022","T","48740","194487","239976","245928","246912","277868","362028","363777","355640","338716","316709","333251","346298","353883","319661","272971","200895","128424","82942","65310","5094416"
"0","British Columbia","2023","T","49156","196770","242691","246666","250462","272080","356740","374258","359839","348959","319289","331661","338008","358043","327860","277180","213905","135069","85040","68148","5151824"
"0","British Columbia","2024","T","49500","198777","246324","246857","254054","268444","347987","383684","365968","357687","324966","327229","333281","360921","333828","283763","224763","142455","87670","70468","5208626"
"0","British Columbia","2025","T","49770","200551","249818","248211","257156","267016","336006","392045","373016","365114","331888","323834","332223","359157","339021","290934","236566","148969","90619","72866","5264780"
"0","British Columbia","2026","T","49958","202069","253099","250663","259235","268020","322934","399397","380399","370469","340502","320430","335227","352817","344462","298634","246013","156022","94383","75389","5320122"
"0","British Columbia","2027","T","50055","203315","256130","253561","260312","271148","314360","399075","390551","374311","350351","321622","335604","345704","347772","306486","248614","169397","98351","77775","5374494"
"0","British Columbia","2028","T","50061","204242","258909","256365","261154","274794","308785","394060","401195","378638","360618","324225","334077","337731","351878","314312","252576","180421","103568","80263","5427872"
"0","British Columbia","2029","T","49978","204828","261334","260082","261445","278481","305344","385577","410776","384878","369380","329886","329766","333239","354726","320035","258675","189551","109334","82804","5480119"
"0","British Columbia","2030","T","49824","205059","263444","263651","262889","281667","304088","373848","419277","392022","376843","336773","326482","332307","353110","325045","265345","199388","114384","85661","5531107"
"0","British Columbia","2031","T","49428","204939","265204","266992","265411","283816","305217","360993","426747","399472","382234","345323","323190","335302","347093","330288","272447","207244","119902","89194","5580436"
"0","British Columbia","2032","T","49244","204348","266624","270108","268403","284999","308535","352681","426603","409713","386147","355113","324409","335719","340338","333510","279663","209599","130424","92750","5628930"
"0","British Columbia","2033","T","48946","203582","267653","272995","271323","285975","312439","347420","421828","420476","390569","365323","327029","334295","332820","337515","286861","213121","139081","97214","5676465"
"0","British Columbia","2034","T","48750","202550","268198","275465","275099","286314","316202","344134","413484","430093","396831","374011","332618","330144","328630","340300","292149","218437","146196","102026","5721631"
"0","British Columbia","2035","T","48613","201467","268299","277604","278708","287784","319417","342975","401876","438618","403972","381410","339412","327001","327841","338840","296825","224280","153774","106471","5765187"
"0","British Columbia","2036","T","48556","200667","267845","279431","282123","290383","321696","344291","389216","446168","411457","386790","347863","323883","330815","333246","301735","230431","159740","111636","5807972"
"0","British Columbia","2037","T","48545","199988","267091","280875","285272","293410","322936","347670","380991","446068","421654","390668","357505","325117","331247","326916","304752","236647","161760","120218","5849330"
"0","British Columbia","2038","T","48609","199595","266009","281892","288150","296316","323902","351517","375699","441283","432314","395014","367530","327692","329898","319930","308538","242852","164708","127877","5889325"
"0","British Columbia","2039","T","48743","199455","264802","282463","290656","300113","324285","355351","372489","433028","441903","401228","376084","333181","325968","316130","311164","247451","169032","134519","5928045"
"0","British Columbia","2040","T","48936","199577","263607","282592","292832","303745","325790","358641","371410","421526","450409","408323","383383","339854","323032","315535","309906","251586","173829","141107","5965620"
"0","British Columbia","2041","T","49174","199950","262733","282124","294655","307144","328348","360876","372695","408908","457890","415705","388671","348127","320111","318445","304881","255923","178808","146978","6002146"
